接口编号,方法,旧路径,源码位置,阶段0模块,新模块,新控制器,新服务,新仓储,迁移批次,高风险类别,前端调用方,兼容结论
API-0001,POST,/api/mock/crm-open-api/v2/auth/login,backend/server.js:3404,模拟接口,开放接口,开放接口控制器、开放接口管理控制器,开发测试身份模拟适配服务,无生产仓储，开发测试数据适配,批次六,暂无显性高风险,待确认,保留 POST /api/mock/crm-open-api/v2/auth/login 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0002,GET,/api/mock/crm-open-api/v1/identity/users/:userId,backend/server.js:3448,模拟接口,开放接口,开放接口控制器、开放接口管理控制器,开发测试身份模拟适配服务,无生产仓储，开发测试数据适配,批次六,无分页、内存全量扫描,待确认,保留 GET /api/mock/crm-open-api/v1/identity/users/:userId 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0003,POST,/api/auth/login,backend/server.js:3467,登录认证,认证,认证控制器,认证服务,账号仓储、会话仓储,阶段3合入后前置接入,信任前端身份,"frontend/admin-app.js:356
frontend/api-client.js:102
frontend/api.js:45
frontend/app.js:228
frontend/partner-app.js:429",保留 POST /api/auth/login 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0004,PUT,/api/auth/password,backend/server.js:3560,登录认证,认证,认证控制器,认证服务,账号仓储、会话仓储,阶段3合入后前置接入,信任前端身份、内存全量扫描,"frontend/admin-app.js:827
frontend/partner-app.js:776",保留 PUT /api/auth/password 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0005,GET,/api/auth/me,backend/server.js:3643,登录认证,认证,认证控制器,认证服务,账号仓储、会话仓储,阶段3合入后前置接入,敏感字段返回,待确认,保留 GET /api/auth/me 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0006,GET,/api/notifications,backend/server.js:3650,通知消息,开放接口,开放接口控制器、开放接口管理控制器,通知服务,通知仓储,批次六,信任前端身份、无分页、内存全量扫描,"frontend/admin-app.js:16618
frontend/partner-app.js:9097",保留 GET /api/notifications 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0007,PUT,/api/notifications/read,backend/server.js:3663,通知消息,开放接口,开放接口控制器、开放接口管理控制器,通知服务,通知仓储,批次六,信任前端身份,"frontend/admin-app.js:16632
frontend/admin-app.js:16644
frontend/partner-app.js:9111
frontend/partner-app.js:9123",保留 PUT /api/notifications/read 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0008,POST,/api/sso/iam/admin-login,backend/server.js:3688,登录认证,认证,认证控制器,统一身份适配服务、认证服务,账号仓储、会话仓储,阶段3合入后前置接入,信任前端身份、敏感字段返回,frontend/admin-app.js:457,保留 POST /api/sso/iam/admin-login 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0009,POST,/api/sso/iam/admin-login-v2,backend/server.js:3752,登录认证,认证,认证控制器,统一身份适配服务、认证服务,账号仓储、会话仓储,阶段3合入后前置接入,信任前端身份、敏感字段返回,frontend/admin-app.js:524,保留 POST /api/sso/iam/admin-login-v2 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0010,POST,/api/sso/iam/partner-login-v2,backend/server.js:3856,登录认证,认证,认证控制器,统一身份适配服务、认证服务,账号仓储、会话仓储,阶段3合入后前置接入,信任前端身份、敏感字段返回,frontend/partner-app.js:528,保留 POST /api/sso/iam/partner-login-v2 旧路径，兼容层映射请求、响应和错误后调用新服务。
API-0011,POST,/api/registrations,backend/server.js:3960,客户报备,报备,报备控制器,报备服务,报备仓储、报备历史仓储,批次三,信任前端身份、内存全量扫描,"frontend/admin-app.js:1153
frontend/admin-app.js:11693
frontend/admin-app.js:244
frontend/api-client.js:141
frontend/api-client.js:182
frontend/api.js:64
frontend/app.js:709
frontend/partner-app.js:1124
frontend/partner-app.js:1357
frontend/partner-app.js:1816
frontend/partner-app.js:1880
frontend/partner-app.js:8889",保留 POST /api/registrations 旧路径，兼容层映射请求、响应和错误后调用新服务。
